Source.Name;Time;P1;Q;P2
FE08P100M1.txt;6.7000000000000215e+000;9.6424147595280360e+001;2.9121077693997790e+001;1.0134739343726640e+002
FE08P100M1.txt;6.8000000000000220e+000;9.6423263779058104e+001;2.9119951075277640e+001;1.0134615282691168e+002
FE08P100M1.txt;6.9000000000000226e+000;9.6422354052942268e+001;2.9118824821167344e+001;1.0134488509963209e+002
FE08P100M1.txt;7.0000000000000231e+000;9.6421419006195379e+001;2.9117713012951391e+001;1.0134359151044836e+002
FE08P100M1.txt;7.1000000000000236e+000;9.6420462871028377e+001;2.9116585312225133e+001;1.0134227415587581e+002
FE08P100M1.txt;7.2000000000000242e+000;9.6419487157424371e+001;2.9115446432115817e+001;1.0134093438452069e+002
FE08P100M1.txt;7.3000000000000247e+000;9.6418492146174827e+001;2.9114322638769664e+001;1.0133957309550641e+002
FE08P100M1.txt;7.4000000000000252e+000;9.6417480620013748e+001;2.9113182398852743e+001;1.0133819210285046e+002
FE08P100M1.txt;7.5000000000000258e+000;9.6416452868843933e+001;2.9112043655321720e+001;1.0133679239589374e+002
FE08P100M1.txt;7.6000000000000263e+000;9.6415409891855518e+001;2.9110905749427850e+001;1.0133537518471400e+002
FE08P100M1.txt;7.7000000000000268e+000;9.6414353031066923e+001;2.9109759555832547e+001;1.0133394168297669e+002
FE08P100M1.txt;7.8000000000000274e+000;9.6413283019809455e+001;2.9108608503183028e+001;1.0133249282103370e+002
FE08P100M1.txt;7.9000000000000279e+000;9.6412200522264044e+001;2.9107455668777426e+001;1.0133102948227082e+002
FE08P100M1.txt;8.0000000000000284e+000;9.6411106510210089e+001;2.9106293944192814e+001;1.0132955271681607e+002
FE08P100M1.txt;8.1000000000000281e+000;9.6410001516573175e+001;2.9105132090144735e+001;1.0132806315944225e+002
FE08P100M1.txt;8.2000000000000277e+000;9.6408886410005124e+001;2.9103960305757710e+001;1.0132656184174154e+002
FE08P100M1.txt;8.3000000000000274e+000;9.6407761737429368e+001;2.9102779817359234e+001;1.0132504950276100e+002
FE08P100M1.txt;8.4000000000000270e+000;9.6406628124402090e+001;2.9101593588273893e+001;1.0132352680050499e+002
FE08P100M1.txt;8.5000000000000266e+000;9.6405486558518746e+001;2.9100404374561670e+001;1.0132199434385701e+002
FE08P100M1.txt;8.6000000000000263e+000;9.6404337120064440e+001;2.9099224276673176e+001;1.0132045254960467e+002
FE08P100M1.txt;8.7000000000000259e+000;9.6403180086838589e+001;2.9098066831483237e+001;1.0131890176688324e+002
FE08P100M1.txt;8.8000000000000256e+000;9.6402015965487479e+001;2.9096918863300033e+001;1.0131734284475594e+002
FE08P100M1.txt;8.9000000000000252e+000;9.6400845775666355e+001;2.9095714292636814e+001;1.0131577764510071e+002
FE08P100M1.txt;9.0000000000000249e+000;9.6399669447561124e+001;2.9094481004777720e+001;1.0131420615028370e+002
FE08P100M1.txt;9.1000000000000245e+000;9.6398487257081499e+001;2.9093209723189588e+001;1.0131262905355135e+002
FE08P100M1.txt;9.2000000000000242e+000;9.6397299561944564e+001;2.9091940164464724e+001;1.0131104573229061e+002
FE08P100M1.txt;9.3000000000000238e+000;9.6396106867860766e+001;2.9090785985476238e+001;1.0130945359555533e+002
FE08P100M1.txt;9.4000000000000234e+000;9.6394909289816482e+001;2.9089732971958917e+001;1.0130785339485513e+002
FE08P100M1.txt;9.5000000000000231e+000;9.6393707050645048e+001;2.9088825901962515e+001;1.0130624430913755e+002
FE08P100M1.txt;9.6000000000000227e+000;9.6392500674441891e+001;2.9087891106039926e+001;1.0130463817542417e+002
FE08P100M1.txt;9.7000000000000224e+000;9.6391292114901802e+001;2.9086232769968277e+001;1.0130303902891025e+002
FE08P100M1.txt;9.8000000000000220e+000;9.6390078938485715e+001;2.9085214329096566e+001;1.0130141807178832e+002
FE08P100M1.txt;9.9000000000000217e+000;9.6388862957779750e+001;2.9084080182022333e+001;1.0129980394585543e+002
FE08P100M1.txt;1.0000000000000000e+001;9.6387644566921878e+001;2.9082833419959805e+001;1.0129818528689216e+002
FE08P100M2.txt;0.0000000000000000e+000;1.5000000000000000e+000;-4.0000000000000000e+000;1.5000000000000000e+000
FE08P100M2.txt;1.0000000000000023e-001;5.2688840855944683e+000;-3.9278808741508699e+000;2.2815642625281298e+000
FE08P100M2.txt;2.0000000000000046e-001;1.5360670452720028e+001;-3.6118413766955926e+000;6.8659391065189634e+000
FE08P100M2.txt;3.0000000000000071e-001;2.5233124157351469e+001;-3.0557716666166543e+000;1.5551204108484853e+001
FE08P100M2.txt;4.0000000000000091e-001;3.4785526960281913e+001;-2.2936272091997090e+000;2.5442801142488225e+001
FE08P100M2.txt;5.0000000000000111e-001;4.3989966049128078e+001;-1.3452961221124076e+000;3.5415436900296953e+001
FE08P100M2.txt;6.0000000000000131e-001;5.2852583677604649e+001;-2.2144803127453239e-001;4.5175464482260573e+001
FE08P100M2.txt;7.0000000000000151e-001;6.1378199788815778e+001;1.0704544322580789e+000;5.4640050365048637e+001
FE08P100M2.txt;8.0000000000000171e-001;6.9575498077157860e+001;2.5235447790824130e+000;6.3783875011245335e+001
FE08P100M2.txt;9.0000000000000191e-001;7.7456884743145807e+001;4.1309298094304729e+000;7.2598699929229312e+001
FE08P100M2.txt;1.0000000000000022e+000;8.5037112644187403e+001;5.8856407403310005e+000;8.1081386285513332e+001
FE08P100M2.txt;1.1000000000000025e+000;9.2331351198114646e+001;7.6667089486422082e+000;8.9221066711458306e+001
FE08P100M2.txt;1.2000000000000028e+000;9.9346198605695491e+001;9.3607490362770189e+000;9.6985416184097403e+001
FE08P100M2.txt;1.3000000000000032e+000;1.0604102002156122e+002;5.0734709542172176e+000;1.0398014816732319e+002
FE08P100M2.txt;1.4000000000000035e+000;1.1193399121492372e+002;-3.2066270790914908e-001;1.0932674987216325e+002
FE08P100M2.txt;1.5000000000000038e+000;1.1695743359533157e+002;-2.5267979759113457e+000;1.1409881134744727e+002
FE08P100M2.txt;1.6000000000000041e+000;1.2133726335792115e+002;-3.4160675037191526e+000;1.1852432937470556e+002
FE08P100M2.txt;1.7000000000000044e+000;1.2523211708919199e+002;-3.7704526495028050e+000;1.2261445058781760e+002
FE08P100M2.txt;1.8000000000000047e+000;1.2873329838344810e+002;-3.9102345653493300e+000;1.2636092635242393e+002
FE08P100M2.txt;1.9000000000000050e+000;1.3189285719364491e+002;-3.9651295131692019e+000;1.2976720197288103e+002
FE08P100M2.txt;2.0000000000000053e+000;1.3474346811339700e+002;-3.9863955648230935e+000;1.3284665473106199e+002
FE08P100M2.txt;2.1000000000000054e+000;1.3730921618549456e+002;-3.9947211908833582e+000;1.3561762757702903e+002
FE08P100M2.txt;2.2000000000000055e+000;1.3961057722383893e+002;-3.9979494780477522e+000;1.3810016948908165e+002
FE08P100M2.txt;2.3000000000000056e+000;1.4166630588241580e+002;-3.9992008594867019e+000;1.4031442731905582e+002
FE08P100M2.txt;2.4000000000000057e+000;1.4349437364249999e+002;-3.9996963583694791e+000;1.4228054829074819e+002
FE08P100M2.txt;2.5000000000000058e+000;1.4511184030186320e+002;-3.9998845556468434e+000;1.4401789323968734e+002
FE08P100M2.txt;2.6000000000000059e+000;1.4653511003051642e+002;-3.9999555577590051e+000;1.4554497529640821e+002
FE08P100M2.txt;2.7000000000000060e+000;1.4777968358095646e+002;-3.9999823613644607e+000;1.4687939093924894e+002
FE08P100M2.txt;2.8000000000000060e+000;1.4886015869807071e+002;-3.9999922232369487e+000;1.4803760107117961e+002
FE08P100M2.txt;2.9000000000000061e+000;1.4979025591376455e+002;-3.9999960937580532e+000;1.4903501572506860e+002
FE08P100M2.txt;3.0000000000000062e+000;1.5058279757677812e+002;-3.9999979728346036e+000;1.4988593048035221e+002
FE08P100M2.txt;3.1000000000000063e+000;1.5124972137229472e+002;-3.9999990687282070e+000;1.5060355134229451e+002
FE08P100M2.txt;3.2000000000000064e+000;1.5180217342843858e+002;-3.9999996309615873e+000;1.5120011245037574e+002
FE08P100M2.txt;3.3000000000000065e+000;1.5225044785919536e+002;-3.9999998618313128e+000;1.5168684861560232e+002
FE08P100M2.txt;3.4000000000000066e+000;1.5260418172117906e+002;-3.9999999441626533e+000;1.5207407038438467e+002
FE08P100M2.txt;3.5000000000000067e+000;1.5287233948867046e+002;-3.9999999792319909e+000;1.5237146196985651e+002
FE08P100M2.txt;3.6000000000000068e+000;1.5306348215193253e+002;-3.9999999932237214e+000;1.5258805547572905e+002
FE08P100M2.txt;3.7000000000000068e+000;1.5318573294856415e+002;-3.9999999972742559e+000;1.5273238755811241e+002
FE08P100M2.txt;3.8000000000000069e+000;1.5324685511495784e+002;-3.9999999987695962e+000;1.5281258956861294e+002
FE08P100M2.txt;3.9000000000000070e+000;1.5325436447587163e+002;-3.9999999997755911e+000;1.5283644258041090e+002
FE08P100M2.txt;4.0000000000000071e+000;1.5321577914997087e+002;-4.0000000000000000e+000;1.5281168421396617e+002
FE08P100M2.txt;4.1000000000000076e+000;1.5313836940655852e+002;-4.0000000000000000e+000;1.5274579159349702e+002
FE08P100M2.txt;4.2000000000000082e+000;1.5302835695707145e+002;-4.0000000000000000e+000;1.5264513395112110e+002
FE08P100M2.txt;4.3000000000000087e+000;1.5289241796754138e+002;-4.0000000000000000e+000;1.5251653687339677e+002
FE08P100M2.txt;4.4000000000000092e+000;1.5273696205582513e+002;-4.0000000000000000e+000;1.5236653160322422e+002
FE08P100M2.txt;4.5000000000000098e+000;1.5256836228670593e+002;-4.0000000000000000e+000;1.5220162076403153e+002
FE08P100M2.txt;4.6000000000000103e+000;1.5239249357668322e+002;-4.0000000000000000e+000;1.5202780690551398e+002
FE08P100M2.txt;4.7000000000000108e+000;1.5221474284427816e+002;-4.0000000000000000e+000;1.5185060947027551e+002
FE08P100M2.txt;4.8000000000000114e+000;1.5204006637040669e+002;-4.0000000000000000e+000;1.5167512318587350e+002
